Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,City,State,Postal_Code,Region,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,ingested_at,days_to_ship,Order_Date_Parsed,Year,Month,Year_Month,Quarter,Actual_Date,Total_Sales,Month_Num
3277,CA-2014-102988,2014-04-05,2014-04-09,Second Class,GM-14695,Greg Maxwell,Corporate,United States,Alexandria,Virginia,22304,South,OFF-AR-10004757,Office Supplies,Art,Crayola Colored Pencils,22.96,7,0.0,7.58,2026-05-07 14:00:30.613507,4,2014-04-05,2014,Apr,2014-04,2,2014-04-01,1032.48,4
3278,CA-2014-102988,2014-04-05,2014-04-09,Second Class,GM-14695,Greg Maxwell,Corporate,United States,Alexandria,Virginia,22304,South,TEC-PH-10001615,Technology,Phones,AT&T CL82213,28.99,1,0.0,8.41,2026-05-07 14:00:30.613507,4,2014-04-05,2014,Apr,2014-04,2,2014-04-01,1032.48,4
3279,CA-2014-102988,2014-04-05,2014-04-09,Second Class,GM-14695,Greg Maxwell,Corporate,United States,Alexandria,Virginia,22304,South,OFF-PA-10003349,Office Supplies,Paper,Xerox 1957,12.96,2,0.0,6.35,2026-05-07 14:00:30.613507,4,2014-04-05,2014,Apr,2014-04,2,2014-04-01,1032.48,4
3280,CA-2014-102988,2014-04-05,2014-04-09,Second Class,GM-14695,Greg Maxwell,Corporate,United States,Alexandria,Virginia,22304,South,OFF-AR-10000127,Office Supplies,Art,Newell 321,22.96,7,0.0,6.66,2026-05-07 14:00:30.613507,4,2014-04-05,2014,Apr,2014-04,2,2014-04-01,1032.48,4
7843,CA-2014-158470,2014-04-19,2014-04-23,Second Class,AG-10390,Allen Goldenen,Consumer,United States,Arlington,Virginia,22204,South,OFF-BI-10003638,Office Supplies,Binders,GBC Durable Plastic Covers,58.05,3,0.0,26.7,2026-05-07 14:00:30.613507,4,2014-04-19,2014,Apr,2014-04,2,2014-04-01,141.95,4
7844,CA-2014-158470,2014-04-19,2014-04-23,Second Class,AG-10390,Allen Goldenen,Consumer,United States,Arlington,Virginia,22204,South,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,71.28,11,0.0,34.21,2026-05-07 14:00:30.613507,4,2014-04-19,2014,Apr,2014-04,2,2014-04-01,141.95,4
5683,CA-2014-164315,2014-04-02,2014-04-08,Standard Class,RD-19585,Rob Dowd,Consumer,United States,Athens,Georgia,30605,South,OFF-PA-10004248,Office Supplies,Paper,Xerox 1990,15.84,3,0.0,7.13,2026-05-07 14:00:30.613507,6,2014-04-02,2014,Apr,2014-04,2,2014-04-01,183.52,4
5685,CA-2014-164315,2014-04-02,2014-04-08,Standard Class,RD-19585,Rob Dowd,Consumer,United States,Athens,Georgia,30605,South,OFF-AP-10003842,Office Supplies,Appliances,Euro-Pro Shark Turbo Vacuum,154.9,5,0.0,40.27,2026-05-07 14:00:30.613507,6,2014-04-02,2014,Apr,2014-04,2,2014-04-01,183.52,4
1774,CA-2014-118976,2014-04-28,2014-05-03,Standard Class,MY-18295,Muhammed Yedwab,Corporate,United States,Baltimore,Maryland,21215,East,OFF-BI-10001628,Office Supplies,Binders,"Acco Data Flex Cable Posts For Top & Bottom Load Binders, 6"" Capacity",20.86,2,0.0,9.39,2026-05-07 14:00:30.613507,5,2014-04-28,2014,Apr,2014-04,2,2014-04-01,37.18,4
1776,CA-2014-118976,2014-04-28,2014-05-03,Standard Class,MY-18295,Muhammed Yedwab,Corporate,United States,Baltimore,Maryland,21215,East,OFF-AR-10004752,Office Supplies,Art,Blackstonian Pencils,5.34,2,0.0,1.5,2026-05-07 14:00:30.613507,5,2014-04-28,2014,Apr,2014-04,2,2014-04-01,37.18,4
1777,CA-2014-118976,2014-04-28,2014-05-03,Standard Class,MY-18295,Muhammed Yedwab,Corporate,United States,Baltimore,Maryland,21215,East,OFF-LA-10000452,Office Supplies,Labels,Avery 488,3.15,1,0.0,1.51,2026-05-07 14:00:30.613507,5,2014-04-28,2014,Apr,2014-04,2,2014-04-01,37.18,4
6708,CA-2014-167724,2014-04-13,2014-04-18,Standard Class,BF-11170,Ben Ferrer,Home Office,United States,Baltimore,Maryland,21215,East,OFF-LA-10002368,Office Supplies,Labels,Avery 479,7.83,3,0.0,3.6,2026-05-07 14:00:30.613507,5,2014-04-13,2014,Apr,2014-04,2,2014-04-01,37.18,4
9098,US-2014-158365,2014-04-12,2014-04-17,Standard Class,SV-20785,Stewart Visinsky,Consumer,United States,Bloomington,Indiana,47401,Central,OFF-PA-10000289,Office Supplies,Paper,Xerox 213,32.4,5,0.0,15.55,2026-05-07 14:00:30.613507,5,2014-04-12,2014,Apr,2014-04,2,2014-04-01,32.4,4
6381,US-2014-163797,2014-04-08,2014-04-13,Standard Class,PC-19000,Pauline Chand,Home Office,United States,Chandler,Arizona,85224,West,OFF-FA-10001883,Office Supplies,Fasteners,"Alliance Super-Size Bands, Assorted Sizes",49.79,8,0.2,-11.83,2026-05-07 14:00:30.613507,5,2014-04-08,2014,Apr,2014-04,2,2014-04-01,49.79,4
4178,CA-2014-128846,2014-04-07,2014-04-12,Standard Class,RS-19765,Roland Schwarz,Corporate,United States,Columbia,South Carolina,29203,South,OFF-PA-10000100,Office Supplies,Paper,Xerox 1945,122.97,3,0.0,60.26,2026-05-07 14:00:30.613507,5,2014-04-07,2014,Apr,2014-04,2,2014-04-01,1013.14,4
3406,US-2014-150119,2014-04-23,2014-04-27,Standard Class,LB-16795,Laurel Beltran,Home Office,United States,Columbus,Ohio,43229,East,FUR-CH-10002965,Furniture,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",281.37,2,0.3,-12.06,2026-05-07 14:00:30.613507,4,2014-04-23,2014,Apr,2014-04,2,2014-04-01,690.6,4
3407,US-2014-150119,2014-04-23,2014-04-27,Standard Class,LB-16795,Laurel Beltran,Home Office,United States,Columbus,Ohio,43229,East,FUR-CH-10002965,Furniture,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",281.37,2,0.3,-12.06,2026-05-07 14:00:30.613507,4,2014-04-23,2014,Apr,2014-04,2,2014-04-01,690.6,4
3408,US-2014-150119,2014-04-23,2014-04-27,Standard Class,LB-16795,Laurel Beltran,Home Office,United States,Columbus,Ohio,43229,East,OFF-BI-10000145,Office Supplies,Binders,Zipper Ring Binder Pockets,7.49,8,0.7,-5.24,2026-05-07 14:00:30.613507,4,2014-04-23,2014,Apr,2014-04,2,2014-04-01,690.6,4
3409,US-2014-150119,2014-04-23,2014-04-27,Standard Class,LB-16795,Laurel Beltran,Home Office,United States,Columbus,Ohio,43229,East,FUR-FU-10002191,Furniture,Furnishings,G.E. Halogen Desk Lamp Bulbs,22.34,4,0.2,7.82,2026-05-07 14:00:30.613507,4,2014-04-23,2014,Apr,2014-04,2,2014-04-01,690.6,4
7047,CA-2014-150581,2014-04-08,2014-04-12,Standard Class,NM-18445,Nathan Mautz,Home Office,United States,Concord,California,94521,West,FUR-TA-10003748,Furniture,Tables,Bevis 36 x 72 Conference Tables,99.59,1,0.2,2.49,2026-05-07 14:00:30.613507,4,2014-04-08,2014,Apr,2014-04,2,2014-04-01,229.16,4
9507,CA-2014-149104,2014-04-05,2014-04-07,Second Class,RD-19900,Ruben Dartt,Consumer,United States,Dearborn Heights,Michigan,48127,Central,OFF-AR-10002952,Office Supplies,Art,Stanley Contemporary Battery Pencil Sharpeners,26.7,2,0.0,7.48,2026-05-07 14:00:30.613507,2,2014-04-05,2014,Apr,2014-04,2,2014-04-01,770.61,4
9508,CA-2014-149104,2014-04-05,2014-04-07,Second Class,RD-19900,Ruben Dartt,Consumer,United States,Dearborn Heights,Michigan,48127,Central,OFF-BI-10004209,Office Supplies,Binders,"Fellowes Twister Kit, Gray/Clear, 3/pkg",40.2,5,0.0,18.09,2026-05-07 14:00:30.613507,2,2014-04-05,2014,Apr,2014-04,2,2014-04-01,770.61,4
9509,CA-2014-149104,2014-04-05,2014-04-07,Second Class,RD-19900,Ruben Dartt,Consumer,United States,Dearborn Heights,Michigan,48127,Central,OFF-AR-10004685,Office Supplies,Art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",13.89,3,0.0,4.58,2026-05-07 14:00:30.613507,2,2014-04-05,2014,Apr,2014-04,2,2014-04-01,770.61,4
